ChannelPartnerID,response,n_comp,loyalty,portal,rewards,nps,n_yrs,email,sms,call,Region,total_sales_2021,total_sales_2022,brand_B1_sales_2022,buying_frequency_2022,brand_engagement_2022,buying_frequency_B1_2022,brand_B1_contribution_2022,active_last_quarter,active_last_quarter_B1
78374,1,2,1,0,1,5,5,1,4,1,North,110719.0,50945.0,0.0,2.0,2.0,0.0,0.0,Yes,No
24585,1,2,0,1,0,7,4,1,1,1,North,62090.0,52093.0,0.0,2.0,2.0,0.0,0.0,No,No
60796,0,4,0,0,0,4,6,1,0,0,South,146184.0,36797.0,0.0,2.0,1.0,0.0,0.0,No,No
97007,0,4,0,1,0,4,7,1,1,0,South,4199.0,36190.0,22858.0,3.0,2.0,2.0,0.6316109422492401,No,No
17202,1,2,0,0,0,8,4,1,2,0,West,109721.0,134342.0,27944.0,4.0,3.0,1.0,0.208006431346861,Yes,No
82945,0,2,1,1,1,2,2,1,1,1,North,138296.0,87145.0,0.0,3.0,3.0,0.0,0.0,Yes,No
29156,1,3,1,1,1,4,7,1,3,1,South,58860.0,5828.0,5828.0,1.0,1.0,1.0,1.0,No,No
53413,1,2,0,0,0,7,8,4,2,0,North,21123.0,68213.0,0.0,2.0,2.0,0.0,0.0,Yes,No
89624,1,4,0,0,0,2,6,2,0,0,South,53748.0,49138.0,0.0,5.0,4.0,0.0,0.0,Yes,No
36010,0,3,1,1,1,3,5,1,1,1,North,30655.0,33728.0,0.0,2.0,2.0,0.0,0.0,No,No
72221,1,3,0,0,0,7,6,2,2,0,South,106065.0,36495.0,23764.0,2.0,2.0,1.0,0.6511576928346349,No,No
18432,1,3,1,0,1,1,6,2,2,2,North,70505.0,172730.0,83026.0,4.0,3.0,1.0,0.48066925259074855,Yes,No
99994,1,1,1,0,1,4,2,1,2,1,East,142815.0,78652.0,38822.0,2.0,2.0,1.0,0.49359202563189747,No,No
20189,0,2,1,1,1,5,8,2,1,1,South,93847.0,99658.0,0.0,4.0,3.0,0.0,0.0,Yes,No
56400,1,3,1,0,1,10,4,1,2,1,East,0.0,10610.0,0.0,1.0,1.0,0.0,0.0,No,No
92611,0,2,0,0,0,5,3,1,0,0,North,17643.0,224008.0,34017.0,7.0,5.0,1.0,0.15185618370772472,Yes,No
11752,0,0,0,1,0,3,4,0,1,0,East,131111.0,22663.0,0.0,1.0,1.0,0.0,0.0,Yes,No
66596,0,1,0,0,0,4,2,0,1,0,West,12916.0,27054.0,0.0,2.0,1.0,0.0,0.0,No,No
50950,0,4,0,0,0,6,6,0,1,0,West,0.0,81781.0,0.0,4.0,3.0,0.0,0.0,Yes,No
93840,1,2,1,0,1,10,9,1,2,1,North,27109.0,72673.0,54058.0,2.0,2.0,1.0,0.7438526000027521,No,No
21418,1,0,0,1,0,3,4,2,1,1,North,84273.0,55631.0,29570.0,3.0,3.0,1.0,0.5315381711635598,Yes,No
12981,1,3,0,1,0,10,4,1,1,0,West,0.0,81961.0,13461.0,3.0,3.0,1.0,0.16423664913800465,Yes,No
61145,1,0,1,0,0,2,6,2,4,0,West,85796.0,19514.0,0.0,1.0,1.0,0.0,0.0,No,No
14036,0,4,0,1,0,0,3,0,1,0,North,15742.0,56784.0,20496.0,3.0,2.0,2.0,0.3609467455621302,Yes,No
76262,1,4,1,0,0,3,6,3,2,0,South,21286.0,53393.0,24046.0,2.0,2.0,1.0,0.4503586612477291,No,No
41106,0,4,0,0,0,2,5,0,1,0,North,4756.0,44561.0,0.0,2.0,2.0,0.0,0.0,No,No
77317,0,0,1,1,1,7,5,1,1,1,South,33400.0,35669.0,9191.0,3.0,3.0,1.0,0.2576747315596176,No,No
13507,0,3,0,0,0,1,4,0,2,0,South,70381.0,66716.0,47506.0,3.0,3.0,1.0,0.7120630733257389,No,No
61671,0,3,1,0,1,7,9,1,0,1,East,42109.0,32190.0,0.0,2.0,2.0,0.0,0.0,No,No
32140,0,5,0,0,0,1,2,0,2,0,North,38003.0,10875.0,0.0,1.0,1.0,0.0,0.0,No,No
68351,0,5,1,1,1,6,6,1,1,1,East,0.0,57707.0,0.0,2.0,2.0,0.0,0.0,No,No
14562,1,0,1,0,0,7,5,3,3,1,East,81147.0,17589.0,0.0,3.0,3.0,0.0,0.0,Yes,No
60968,1,2,1,0,1,1,8,1,1,1,West,7688.0,36388.0,0.0,2.0,2.0,0.0,0.0,Yes,No
90499,1,2,1,1,1,3,8,1,1,1,West,64331.0,56441.0,22529.0,2.0,4.0,1.0,0.3991601849719176,Yes,Yes
24757,1,3,1,1,1,7,6,2,2,2,North,155057.0,100852.0,0.0,2.0,3.0,0.0,0.0,Yes,No
43564,1,4,1,0,1,2,7,1,2,1,South,85348.0,74083.0,30248.0,3.0,2.0,1.0,0.40829879999460067,No,No
79775,1,2,1,1,1,2,8,1,1,1,South,15991.0,62108.0,0.0,2.0,2.0,0.0,0.0,Yes,No
97353,1,0,0,1,0,2,5,2,1,0,North,0.0,288783.0,141480.0,5.0,4.0,1.0,0.48991803534141554,Yes,No
10869,1,1,1,0,0,3,9,3,2,1,West,62458.0,97306.0,17058.0,4.0,4.0,1.0,0.17530265348488275,Yes,No
53759,0,4,1,0,1,1,6,1,0,1,North,68807.0,238642.0,60260.0,7.0,5.0,2.0,0.2525121311420454,Yes,No
83291,0,1,1,0,1,5,4,1,0,1,South,34679.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
17549,0,2,1,0,1,4,4,1,0,1,South,103394.0,88388.0,0.0,4.0,3.0,0.0,0.0,No,No
53760,0,3,1,0,1,1,4,1,0,1,East,33847.0,11206.0,0.0,1.0,1.0,0.0,0.0,No,No
63955,0,2,1,1,1,1,3,1,1,1,West,14943.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
81533,0,0,1,0,1,6,7,1,0,1,South,79947.0,32243.0,11849.0,3.0,3.0,1.0,0.3674906181186614,Yes,Yes
36356,1,1,1,1,1,10,5,1,1,1,South,16291.0,21037.0,0.0,2.0,1.0,0.0,0.0,No,No
72567,0,3,1,1,1,4,7,1,1,1,East,65258.0,43848.0,3098.0,3.0,3.0,1.0,0.07065316548075169,Yes,Yes
18778,0,4,1,1,1,1,5,1,1,1,South,55008.0,60655.0,0.0,2.0,2.0,0.0,0.0,Yes,No
54989,0,2,0,1,0,3,2,0,1,0,South,169711.0,20838.0,8076.0,4.0,3.0,1.0,0.3875611862942701,Yes,No
19832,1,5,0,0,0,6,3,1,1,1,West,76125.0,73578.0,34383.0,4.0,3.0,2.0,0.4673000081546114,Yes,Yes
56043,1,2,1,1,1,8,3,1,1,1,East,52391.0,101737.0,46506.0,4.0,3.0,1.0,0.45711982857760697,Yes,Yes
92254,1,5,0,0,0,6,2,2,2,2,East,67731.0,6034.0,0.0,1.0,1.0,0.0,0.0,No,No
38465,0,2,1,1,1,8,8,1,1,1,East,12871.0,55682.0,27070.0,3.0,4.0,1.0,0.48615351460076867,Yes,No
74676,0,1,0,0,0,4,5,0,2,0,South,108856.0,67735.0,0.0,5.0,4.0,0.0,0.0,Yes,No
83817,1,1,1,0,1,6,5,1,0,1,South,146800.0,78288.0,0.0,4.0,3.0,0.0,0.0,Yes,No
38640,0,5,1,0,1,8,6,1,0,1,West,112080.0,98983.0,0.0,3.0,3.0,0.0,0.0,Yes,No
74850,0,2,1,1,1,8,9,1,1,1,North,21429.0,94473.0,0.0,3.0,4.0,0.0,0.0,Yes,No
78366,1,1,1,1,0,8,8,1,1,0,East,44370.0,11835.0,0.0,1.0,1.0,0.0,0.0,No,No
31257,1,0,1,0,0,7,7,1,1,1,North,175989.0,119416.0,19975.0,3.0,3.0,1.0,0.1672723923092383,Yes,No
60788,1,2,1,1,0,8,8,2,1,2,West,58956.0,55460.0,0.0,2.0,2.0,0.0,0.0,Yes,No
85046,1,2,0,1,0,5,6,1,1,2,North,126668.0,26560.0,0.0,2.0,2.0,0.0,0.0,No,No
67468,0,2,0,1,0,3,9,0,1,0,West,39089.0,48883.0,0.0,2.0,1.0,0.0,0.0,No,No
70983,0,2,0,0,0,1,6,0,0,1,South,27990.0,11956.0,11956.0,1.0,1.0,1.0,1.0,No,No
49890,0,5,0,0,0,0,5,0,0,1,East,0.0,37304.0,16502.0,2.0,2.0,1.0,0.4423654299806991,No,No
94712,1,2,0,1,0,1,4,1,1,1,South,53272.0,48203.0,0.0,2.0,2.0,0.0,0.0,No,No
86275,1,1,1,0,1,8,7,1,0,1,West,22593.0,59699.0,7456.0,3.0,2.0,1.0,0.12489321429169668,Yes,No
32486,0,3,1,1,1,6,3,1,1,1,East,0.0,64017.0,0.0,2.0,3.0,0.0,0.0,Yes,No
24048,1,4,1,1,0,3,8,1,1,2,North,66877.0,9759.0,0.0,1.0,1.0,0.0,0.0,No,No
25103,1,2,1,1,1,3,6,1,1,1,East,25076.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
42681,1,4,1,1,0,10,7,1,1,2,North,135395.0,72369.0,0.0,3.0,3.0,0.0,0.0,No,No
78892,1,3,1,0,1,10,7,1,0,2,West,57774.0,105887.0,28440.0,3.0,3.0,1.0,0.2685882119618083,No,No
70455,1,5,1,0,1,8,6,1,0,1,West,7227.0,54839.0,0.0,1.0,1.0,0.0,0.0,No,No
16666,1,5,0,0,0,8,8,1,0,1,East,158552.0,116112.0,56356.0,5.0,3.0,2.0,0.4853589637591291,Yes,Yes
73441,0,5,1,0,1,3,2,1,0,1,West,37684.0,90938.0,33677.0,4.0,3.0,2.0,0.3703292353031736,Yes,No
97699,1,3,0,1,0,0,3,1,1,2,South,47939.0,18701.0,0.0,2.0,2.0,0.0,0.0,Yes,No
11215,1,3,0,1,0,9,7,1,1,2,North,13820.0,132377.0,65944.0,6.0,4.0,2.0,0.49815300240978416,Yes,Yes
47426,0,3,1,0,1,2,5,1,0,1,South,93830.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
71684,0,3,1,1,1,6,2,1,1,1,North,53263.0,117705.0,0.0,3.0,2.0,0.0,0.0,Yes,No
36527,1,5,0,0,0,3,4,1,0,2,East,55190.0,114365.0,107095.0,3.0,3.0,2.0,0.9364316005770996,Yes,Yes
54106,0,5,0,1,0,5,3,0,1,0,West,115371.0,19752.0,0.0,1.0,1.0,0.0,0.0,No,No
90317,0,0,1,0,0,1,8,0,0,1,West,0.0,17642.0,11166.0,3.0,2.0,2.0,0.6329214374787439,Yes,No
10512,0,2,0,1,0,6,7,0,1,0,West,55863.0,107983.0,25211.0,5.0,4.0,1.0,0.23347193539723846,Yes,Yes
28090,0,1,1,1,1,8,6,1,1,1,West,128662.0,66917.0,0.0,2.0,2.0,0.0,0.0,No,No
82934,1,1,0,0,0,10,2,1,0,0,West,33826.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
76428,0,4,1,1,0,3,8,1,1,0,North,13299.0,20043.0,20043.0,1.0,1.0,1.0,1.0,No,No
22639,0,0,1,1,1,6,3,1,1,1,North,0.0,35234.0,0.0,1.0,1.0,0.0,0.0,No,No
58850,0,5,1,1,1,6,7,1,1,1,East,89827.0,184401.0,8532.0,5.0,5.0,1.0,0.04626872956220411,Yes,No
95061,0,4,1,0,1,1,6,1,0,1,West,53451.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
86624,0,4,0,0,0,8,6,2,0,0,South,56550.0,108539.0,0.0,3.0,2.0,0.0,0.0,Yes,No
39514,0,1,1,0,1,7,6,1,0,1,West,71331.0,156273.0,75050.0,4.0,4.0,1.0,0.48024930730196513,Yes,Yes
57092,0,2,0,1,0,2,2,0,1,0,North,34008.0,108845.0,28122.0,5.0,3.0,3.0,0.25836740318801965,Yes,No
93303,0,4,0,1,0,5,8,0,1,0,East,99237.0,134935.0,78836.0,3.0,2.0,2.0,0.584251676733242,No,No
84866,0,5,0,1,0,7,6,0,1,0,East,62441.0,5623.0,0.0,1.0,1.0,0.0,0.0,Yes,No
31077,1,4,1,1,1,8,5,1,1,1,North,31489.0,56703.0,0.0,2.0,2.0,0.0,0.0,No,No
49884,1,4,0,0,0,5,5,1,0,1,North,113922.0,59860.0,0.0,4.0,4.0,0.0,0.0,Yes,No
67462,1,3,1,0,1,2,5,1,0,1,West,83439.0,72760.0,0.0,3.0,3.0,0.0,0.0,No,No
13673,1,4,0,1,0,6,9,1,1,3,West,112616.0,87374.0,0.0,5.0,3.0,0.0,0.0,No,No
17189,0,0,1,1,1,3,8,1,1,1,West,57030.0,35452.0,0.0,1.0,1.0,0.0,0.0,No,No
41447,0,1,0,0,0,3,4,2,0,0,East,212678.0,57399.0,0.0,2.0,2.0,0.0,0.0,No,No
77658,1,5,1,1,1,5,7,1,1,1,West,49859.0,49814.0,23686.0,2.0,2.0,1.0,0.4754888184044646,Yes,Yes
23868,0,3,0,0,0,5,3,2,0,0,West,131579.0,93029.0,79986.0,4.0,2.0,3.0,0.8597964075718324,No,No
34064,1,1,1,0,1,9,4,1,0,1,West,11464.0,28247.0,4117.0,2.0,3.0,1.0,0.1457499911495026,No,No
51642,0,4,0,1,0,5,3,0,1,0,North,60833.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
61837,0,3,1,0,1,3,4,1,0,1,South,158615.0,133494.0,47142.0,3.0,3.0,1.0,0.3531394669423345,Yes,No
16660,0,4,1,0,1,0,7,1,0,1,West,80336.0,42216.0,14753.0,3.0,2.0,1.0,0.3494646579495926,No,No
34238,1,3,1,1,1,3,5,1,1,1,North,46190.0,301884.0,141937.0,3.0,3.0,1.0,0.4701706615786196,No,No
37754,0,4,1,1,1,7,3,1,1,1,South,26722.0,52822.0,0.0,2.0,2.0,0.0,0.0,Yes,No
73965,1,3,0,0,0,2,6,1,0,1,South,92376.0,80961.0,0.0,3.0,2.0,0.0,0.0,Yes,No
98223,0,3,1,1,1,4,3,1,1,1,North,49713.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
89785,0,1,1,1,0,7,5,0,1,0,West,96375.0,15276.0,0.0,1.0,1.0,0.0,0.0,Yes,No
93301,1,4,0,0,0,4,4,1,0,3,West,8333.0,56405.0,0.0,1.0,2.0,0.0,0.0,No,No
27558,0,1,1,0,1,2,4,1,0,1,East,126567.0,73885.0,0.0,2.0,1.0,0.0,0.0,No,No
63769,0,1,1,1,1,5,2,1,1,1,North,183094.0,78113.0,12840.0,5.0,3.0,1.0,0.16437724834534584,Yes,Yes
67285,0,3,1,1,1,8,5,1,1,1,East,46844.0,45215.0,0.0,2.0,2.0,0.0,0.0,Yes,No
91543,0,4,0,1,0,1,5,0,1,0,North,0.0,2480.0,0.0,1.0,1.0,0.0,0.0,No,No
13670,0,3,0,0,0,4,4,2,0,0,South,94875.0,50542.0,0.0,2.0,2.0,0.0,0.0,No,No
37928,0,1,0,0,0,8,5,0,1,0,South,20333.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
74139,0,5,1,1,1,5,2,1,1,1,West,59633.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
20350,1,2,1,0,1,7,4,1,0,1,North,62330.0,13907.0,0.0,1.0,1.0,0.0,0.0,Yes,No
30545,0,0,0,0,0,6,9,2,2,0,West,66520.0,35534.0,0.0,2.0,1.0,0.0,0.0,No,No
48124,1,4,1,0,1,3,3,1,0,1,East,80401.0,50632.0,0.0,2.0,2.0,0.0,0.0,Yes,No
84334,1,0,1,0,1,9,6,1,0,1,South,11508.0,48133.0,0.0,3.0,2.0,0.0,0.0,No,No
40741,1,4,0,1,0,10,5,1,1,1,South,119508.0,66644.0,0.0,2.0,2.0,0.0,0.0,Yes,No
58319,1,1,0,0,0,5,7,1,0,2,East,24312.0,61597.0,0.0,3.0,2.0,0.0,0.0,No,No
13142,0,2,0,0,0,5,5,0,1,0,West,78706.0,132772.0,64389.0,2.0,2.0,2.0,0.48495917813996925,No,No
40915,1,2,1,0,0,5,5,2,0,3,East,41401.0,48044.0,0.0,3.0,3.0,0.0,0.0,No,No
32478,0,2,1,1,1,2,2,1,1,1,North,105441.0,64968.0,64968.0,2.0,1.0,2.0,1.0,Yes,Yes
68689,0,5,0,0,0,5,9,0,1,0,North,75106.0,26636.0,0.0,1.0,1.0,0.0,0.0,No,No
78884,1,2,1,0,0,6,6,3,0,3,West,5426.0,9819.0,0.0,1.0,1.0,0.0,0.0,Yes,No
25095,0,1,0,1,0,2,3,0,1,0,South,44783.0,35598.0,0.0,4.0,3.0,0.0,0.0,Yes,No
42673,0,0,0,1,0,5,6,0,1,0,West,36693.0,46018.0,0.0,3.0,3.0,0.0,0.0,No,No
82399,0,4,0,0,0,8,8,0,1,0,North,9249.0,11330.0,0.0,1.0,1.0,0.0,0.0,Yes,No
16657,1,4,1,1,1,9,6,2,2,2,East,83995.0,30055.0,14645.0,1.0,2.0,1.0,0.4872733322242555,No,No
61480,1,2,1,0,1,7,8,1,0,1,North,35662.0,197838.0,77739.0,3.0,2.0,2.0,0.39294271070269615,No,No
97691,0,0,0,1,0,2,2,0,1,0,West,2163.0,63107.0,7144.0,4.0,3.0,1.0,0.11320455733912245,Yes,No
11207,0,0,0,1,0,2,2,1,1,1,South,38203.0,85608.0,7444.0,5.0,5.0,1.0,0.08695449023455752,Yes,No
35465,0,3,0,1,0,2,3,0,1,0,South,25002.0,92421.0,0.0,4.0,2.0,0.0,0.0,Yes,No
71675,0,1,0,1,0,3,4,0,1,0,North,20288.0,26936.0,11951.0,2.0,2.0,1.0,0.44368131868131866,No,No
75191,1,0,0,1,0,8,8,2,1,3,North,82233.0,56062.0,0.0,2.0,2.0,0.0,0.0,No,No
45660,1,4,0,1,0,8,6,2,1,2,North,118214.0,50419.0,0.0,4.0,2.0,0.0,0.0,Yes,No
81871,1,4,1,0,1,9,5,1,0,1,North,37295.0,175381.0,89060.0,6.0,4.0,3.0,0.5078087136006751,Yes,Yes
28082,0,3,0,0,0,8,3,2,0,1,North,48085.0,41323.0,0.0,2.0,2.0,0.0,0.0,Yes,No
64467,0,4,0,1,0,2,6,0,1,0,East,110436.0,39300.0,0.0,1.0,1.0,0.0,0.0,No,No
29311,0,0,1,1,1,6,7,1,1,1,North,74548.0,57863.0,0.0,4.0,2.0,0.0,0.0,Yes,No
46889,0,0,0,1,0,7,8,0,2,0,East,48058.0,4198.0,4198.0,1.0,1.0,1.0,1.0,No,No
50405,1,4,0,0,0,5,5,2,0,3,North,68109.0,92311.0,12641.0,3.0,2.0,1.0,0.13693925967652826,Yes,Yes
74662,0,3,0,1,0,5,5,0,1,0,North,52105.0,78054.0,70443.0,3.0,2.0,2.0,0.9024905834422323,No,No
66225,1,1,1,1,0,3,2,2,1,2,East,63065.0,73285.0,0.0,2.0,2.0,0.0,0.0,No,No
31069,0,3,1,1,1,5,5,1,1,1,North,40125.0,128497.0,0.0,3.0,2.0,0.0,0.0,Yes,No
48647,0,3,0,1,0,4,8,0,1,0,South,72736.0,11063.0,11063.0,1.0,1.0,1.0,1.0,No,No
84858,1,2,0,1,0,9,5,2,1,3,North,54621.0,141245.0,16848.0,3.0,4.0,1.0,0.11928209848136218,No,No
85032,0,3,1,0,1,1,4,1,0,1,North,99793.0,18470.0,18470.0,2.0,1.0,2.0,1.0,No,No
31243,0,3,0,0,0,3,3,0,1,0,East,64587.0,38992.0,0.0,1.0,1.0,0.0,0.0,No,No
34759,1,3,1,0,1,6,4,1,0,1,North,92107.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
77649,0,5,1,1,1,1,3,1,1,1,East,51381.0,115852.0,0.0,3.0,1.0,0.0,0.0,Yes,No
95227,0,4,1,0,1,1,5,1,0,1,South,47095.0,146868.0,46642.0,4.0,2.0,1.0,0.31757768880899856,Yes,No
86790,0,1,1,0,1,2,2,1,0,1,East,81186.0,114468.0,11305.0,5.0,4.0,1.0,0.09876122584477758,Yes,No
33001,1,0,0,0,0,6,4,2,0,2,South,32218.0,18799.0,0.0,1.0,1.0,0.0,0.0,Yes,No
69212,1,3,1,0,1,6,6,1,0,1,South,16986.0,23646.0,0.0,1.0,1.0,0.0,0.0,No,No
72727,0,4,1,0,1,8,8,1,0,1,West,150318.0,29553.0,0.0,1.0,1.0,0.0,0.0,No,No
18938,1,3,0,1,0,8,8,1,1,1,North,56819.0,102746.0,40118.0,3.0,2.0,1.0,0.39045802269674734,No,No
61829,0,2,1,0,0,2,6,0,1,0,West,64103.0,121686.0,0.0,3.0,3.0,0.0,0.0,Yes,No
88019,0,3,1,0,0,8,7,1,0,0,East,65160.0,89998.0,0.0,2.0,2.0,0.0,0.0,No,No
34230,1,1,1,0,0,0,7,2,0,2,North,8662.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
44425,0,1,0,1,0,2,6,0,1,0,East,164146.0,68533.0,0.0,5.0,4.0,0.0,0.0,Yes,No
62003,0,3,1,1,0,3,8,0,1,0,South,19367.0,120576.0,23396.0,4.0,3.0,1.0,0.19403529723991508,Yes,No
98214,1,0,0,0,0,4,7,2,0,2,South,117393.0,125489.0,0.0,5.0,3.0,0.0,0.0,Yes,No
89777,0,1,1,1,1,5,8,1,1,1,South,59534.0,17608.0,6453.0,2.0,2.0,1.0,0.3664811449341209,No,No
35988,0,5,0,1,0,5,5,0,1,0,North,82178.0,31492.0,0.0,1.0,1.0,0.0,0.0,No,No
46183,0,3,0,0,0,0,3,0,1,0,North,69363.0,15510.0,0.0,1.0,1.0,0.0,0.0,No,No
82394,0,4,1,1,1,6,3,1,1,1,North,4302.0,103388.0,49697.0,2.0,3.0,1.0,0.48068441211746044,Yes,No
99972,0,1,0,1,0,2,3,0,1,0,South,44175.0,102018.0,0.0,6.0,4.0,0.0,0.0,Yes,No
46357,0,3,1,0,1,0,8,1,0,1,North,58167.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
82568,0,4,1,1,1,6,4,1,1,1,West,32760.0,27606.0,0.0,2.0,2.0,0.0,0.0,Yes,No
28779,0,3,0,0,0,3,4,0,1,0,East,37382.0,10083.0,0.0,1.0,1.0,0.0,0.0,No,No
32295,0,5,0,0,0,2,4,1,1,0,South,177050.0,60103.0,0.0,2.0,2.0,0.0,0.0,Yes,No
56553,0,4,1,0,1,6,3,1,0,1,South,145151.0,51120.0,0.0,2.0,1.0,0.0,0.0,No,No
60068,0,1,0,1,0,8,4,0,1,0,South,48449.0,33766.0,21055.0,2.0,2.0,1.0,0.6235562400047385,No,No
96279,0,4,1,0,1,7,5,1,0,1,North,25171.0,59784.0,0.0,2.0,1.0,0.0,0.0,Yes,No
30537,1,2,0,1,0,9,2,2,1,2,North,74102.0,135249.0,32632.0,5.0,4.0,1.0,0.24127350294641736,Yes,No
22100,1,2,1,0,1,5,2,2,0,2,North,115792.0,104717.0,18134.0,4.0,3.0,1.0,0.1731715003294594,Yes,No
20740,1,1,1,0,1,0,8,1,0,1,South,83606.0,47466.0,15211.0,2.0,2.0,1.0,0.3204609615303586,No,No
58485,0,3,1,0,1,5,5,1,0,1,West,88274.0,21211.0,11799.0,1.0,2.0,1.0,0.5562679741643487,No,No
94696,1,3,1,0,1,5,5,1,0,1,South,189606.0,49628.0,6200.0,3.0,4.0,1.0,0.12492947529620375,No,No
14891,1,2,0,0,0,8,4,1,0,1,West,114426.0,19768.0,0.0,1.0,1.0,0.0,0.0,No,No
32469,1,3,1,1,0,2,8,2,1,2,North,64931.0,43373.0,0.0,2.0,2.0,0.0,0.0,Yes,No
42665,1,4,1,0,1,6,5,1,0,1,North,78992.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
60243,1,4,1,0,1,1,2,1,0,1,East,99210.0,167948.0,52287.0,3.0,3.0,1.0,0.3113285064424703,No,No
63758,0,4,1,0,1,2,7,1,0,1,West,65011.0,15932.0,0.0,2.0,1.0,0.0,0.0,No,No
88016,0,3,0,1,0,4,3,0,1,0,North,53649.0,52252.0,43007.0,2.0,2.0,1.0,0.8230689734364235,No,No
91532,1,3,1,0,1,3,6,1,0,1,South,119094.0,71218.0,20800.0,3.0,2.0,1.0,0.2920609958156646,No,No
25790,1,4,0,0,0,9,3,1,0,1,North,123794.0,81681.0,0.0,3.0,3.0,0.0,0.0,Yes,No
70613,0,1,0,1,0,4,3,0,1,0,West,15396.0,48487.0,0.0,2.0,2.0,0.0,0.0,No,No
27019,1,4,1,0,1,9,8,1,1,1,West,53287.0,46791.0,0.0,2.0,2.0,0.0,0.0,No,No
44597,0,3,0,1,0,4,5,0,1,0,West,42062.0,36624.0,25939.0,3.0,3.0,1.0,0.7082514198339886,Yes,No
80808,1,2,0,1,0,1,7,3,1,3,West,21590.0,27830.0,0.0,3.0,2.0,0.0,0.0,No,No
18581,1,3,1,1,1,6,7,1,1,1,North,25174.0,116250.0,54161.0,4.0,4.0,2.0,0.4659010752688172,Yes,No
28777,0,1,1,1,1,5,8,1,1,1,South,43362.0,35284.0,0.0,2.0,1.0,0.0,0.0,No,No
46355,1,3,1,0,0,2,6,1,0,2,West,61692.0,41239.0,15830.0,2.0,3.0,1.0,0.38385993840781785,No,No
49870,1,5,0,1,0,3,3,1,1,1,North,3830.0,52645.0,21400.0,6.0,4.0,2.0,0.40649634343242474,Yes,Yes
82740,1,3,1,1,1,4,6,1,1,1,North,114770.0,309254.0,29633.0,7.0,4.0,1.0,0.09582091096639009,Yes,No
28951,1,2,0,1,0,8,8,1,1,1,West,15309.0,46729.0,0.0,2.0,2.0,0.0,0.0,No,No
